Fecha del pedido,País,Total,Ganancia
19/09/2017,Guatemala,87,21.6
18/09/2017,Honduras,45.36,-11.44
18/09/2017,Honduras,3703.68,-864.72
18/09/2017,Honduras,695.16,-162.24
18/09/2017,Honduras,225.36,-124.24
02/06/2018,Brasil,1496,568.4
31/12/2018,México,167.4,6.6
24/08/2017,Chile,434,212
12/06/2017,Guatemala,5465.6,1420.8
16/04/2018,El Salvador,877.6,114
16/04/2018,El Salvador,1304.8,260.8
15/11/2015,Chile,203.4,7.8
23/12/2015,México,336,144
30/06/2018,República Dominicana,781.44,195.24
13/10/2016,Brasil,320.4,3
13/10/2016,Brasil,693,339
13/10/2016,Brasil,88.8,37.2
23/07/2018,México,389.6,151.6
12/05/2018,Nicaragua,2272.4,68
12/05/2018,Nicaragua,1875.4416,240.2416
04/12/2016,Colombia,260.4,67.2
04/12/2016,Colombia,441,118.8
04/12/2016,Colombia,676.4,324.4
09/04/2017,República Dominicana,2736.64,68.24
09/04/2017,Brasil,797.44,-697.76
09/04/2017,Brasil,118.24,-106.56
09/04/2017,Brasil,971.52,-825.88
09/04/2017,Brasil,3304.8,-3139.8
09/04/2017,Brasil,1388,-1388
09/04/2017,Brasil,5089.2,-6997.8
09/04/2017,Brasil,1411.44,-1376.16
19/09/2018,Honduras,264.6,-57.6
05/09/2016,Argentina,241.56,-80.64
05/09/2016,Argentina,2184,-655.2
26/06/2017,Guatemala,1130,406.8
26/06/2017,Guatemala,594,82.8
26/06/2017,Guatemala,618.4,80
26/06/2017,Guatemala,792.4,134.4
18/06/2018,México,5901.174,697.374
24/09/2015,El Salvador,167.6,31.6
27/05/2016,El Salvador,469,201
27/05/2016,El Salvador,6645.6,66
15/11/2016,Panamá,640.08,-192.72
15/11/2016,Panamá,1957.8,-1142.2
15/11/2016,Panamá,1609.92,-188.28
24/10/2017,Nicaragua,135.6,33.6
28/06/2015,Argentina,1362.72,-272.88
28/06/2015,Argentina,3224.4,-699.6
11/02/2018,Panamá,272.4,-22.8
29/10/2018,Paraguay,3033,606.6
29/10/2018,Paraguay,2004.4,821.6
30/12/2015,Guatemala,316.8,76
11/07/2017,Honduras,210.24,24.24
11/07/2017,Honduras,900.96,-75.44
13/11/2017,El Salvador,1008,291.6
13/11/2017,El Salvador,360,82
14/06/2017,República Dominicana,1833.6,229.2
22/11/2018,Argentina,115.8,-40.6
05/10/2017,Panamá,681.84,56.64
14/03/2016,Brasil,2265.6,634.2
14/03/2016,Brasil,164.8,8
14/03/2016,Brasil,671.2,93.6
14/03/2016,Brasil,1772,708
16/09/2015,Honduras,224.28,-149.52
16/10/2018,Guatemala,625.8,11.2
16/10/2018,Guatemala,2872.4436,656.0436
16/10/2018,Guatemala,2011.4,382
24/06/2015,Haití,93.6,-54.6
02/12/2018,Guatemala,4448.8,44
15/10/2017,México,2314.56,231.36
15/10/2017,México,2657.92,232.32
15/10/2017,México,818.4,155.2
15/10/2017,México,3081.12,-1284.08
15/10/2017,México,1467.36,-165.24
15/10/2017,México,268.8,69.6
15/03/2016,Barbados,4296,1760
15/03/2016,Barbados,322.2,57.8
15/03/2016,Barbados,267.6,45
05/12/2017,México,2431,437
05/12/2017,México,1918.5552,745.7552
03/11/2015,Brasil,331.8,42.6
08/06/2017,Panamá,605.76,-61.44
08/06/2017,Panamá,1689.6,-451.4
08/06/2017,Panamá,67.92,-13.68
08/06/2017,Panamá,603,-141
08/06/2017,Panamá,50.04,3.84
11/04/2018,República Dominicana,8790,-5567
11/04/2018,República Dominicana,2348.16,-822.24
19/08/2018,México,1704.6,732.6
08/10/2015,Cuba,447,8
08/10/2015,Cuba,438.6,118.2
08/10/2015,Cuba,952,142.8
08/10/2015,Cuba,803.2,64
08/10/2015,Cuba,1246.2,61.8
08/10/2015,Cuba,3337.8,834
08/10/2015,Cuba,163.2,22.8
08/10/2015,Cuba,1442,57.6
27/04/2017,México,1287.6,488.4
09/11/2017,Panamá,1435.2,-622.8
09/11/2017,Panamá,2066.04,-1206.36
27/12/2018,México,188,37.6
16/10/2016,Cuba,190.2,91.2
16/10/2016,Cuba,605.4,36
16/10/2016,Cuba,771.6,347.2
16/10/2016,Cuba,6430.2,1027.6
16/10/2016,Cuba,398,23
16/10/2016,Cuba,518.4,190.8
29/11/2018,Argentina,3553.8,-2014.2
21/10/2018,México,421.8,54.6
21/10/2018,México,349.2,10.4
21/10/2018,México,1136.8,443.2
21/12/2017,México,157.6,29.6
21/12/2017,México,822.2,180.8
21/12/2017,México,735,198
20/04/2017,Argentina,386.4,-187.2
20/04/2017,Argentina,9159,-153
20/04/2017,Argentina,101.76,-27.44
20/04/2017,Argentina,157.68,-84.32
20/04/2017,Argentina,243.84,15.84
20/04/2017,Argentina,3847.2,63
20/04/2017,Argentina,250.56,-163.04
28/07/2016,México,1222.2,36.4
28/07/2016,México,7623.9216,2887.5216
28/07/2016,México,2284.8,-142.8
28/07/2016,México,613.6,276
28/07/2016,México,240.8,67.4
15/09/2015,México,1584,197.6
15/09/2015,México,2991,1076
15/09/2015,México,5979.6168,646.8168
15/05/2016,México,100.56,-8.44
15/05/2016,México,124,61.6
28/01/2016,Guatemala,1728,69
26/11/2017,Brasil,402,176
26/11/2017,Brasil,1994.4,717.6
18/07/2017,Chile,255.6,114.6
25/12/2018,Guatemala,8480.8,3307.2
28/06/2016,Venezuela,184.32,-64.88
10/10/2017,República Dominicana,201.12,-2.88
10/10/2017,República Dominicana,176.8,61.8
24/09/2015,Brasil,2163,86.4
24/09/2015,Brasil,4107.6,1314.4
24/09/2015,Brasil,5678,1589
07/12/2015,México,3456,-691.2
01/05/2016,Uruguay,1756.8,51.6
01/05/2016,Uruguay,3988.8,1435.2
15/09/2016,Nicaragua,2523,100.8
07/12/2016,Brasil,22979.6,9881.2
05/02/2018,Honduras,413.52,61.92
17/11/2016,México,5829.12,436.92
17/11/2016,México,744.8,357
17/11/2016,México,1598.4,639
17/11/2016,México,6724.48,756.28
13/08/2017,México,11149.656,3329.256
10/06/2018,México,734.4,50.4
05/04/2015,Colombia,5127.6,2461.2
05/04/2015,Colombia,1195.6,406.4
05/04/2015,Colombia,5859.8568,1807.4568
21/03/2018,Haití,848.4,-142.8
21/03/2018,Haití,630.72,-368.28
27/06/2018,México,847.8,288
27/06/2018,México,480.6,163.2
27/06/2018,México,653.6,117.6
20/11/2017,El Salvador,8464.8,253.2
15/11/2016,México,1895.8008,147.8008
15/11/2016,México,2881.92,324.12
26/06/2017,Chile,751.2,104.8
26/06/2017,Chile,8295.2,3981.6
26/06/2017,Chile,659.2,263.2
07/12/2015,México,192,57.6
26/11/2018,Venezuela,987.6,-444.8
26/11/2018,Venezuela,602.4,-321.6
26/11/2018,Venezuela,992.88,-83.12
12/11/2018,México,709.92,-159.88
24/09/2017,Chile,859.2,368.8
18/06/2015,Cuba,1317.4,105
08/10/2018,Honduras,3153.6,-893.6
24/06/2018,Chile,394.8,86.8
18/08/2018,Panamá,741.6,49.2
13/01/2016,Argentina,528.6,-9.4
13/01/2016,Argentina,36.18,-49.62
13/01/2016,Argentina,455.28,-92.12
13/01/2016,Argentina,136.8,-61.8
13/01/2016,Argentina,1481.04,-469.56
13/01/2016,Argentina,81.36,-20.64
05/04/2018,República Dominicana,3575.52,1339.92
31/03/2015,El Salvador,156,67
31/03/2015,El Salvador,1658.8,796
21/09/2017,México,1188,148.2
29/06/2017,Honduras,271.8,12.8
29/06/2017,Honduras,694.9956,-246.4044
02/09/2016,Cuba,491.4,72.8
04/12/2015,México,171.6,46.2
04/12/2015,México,765,275.4
01/10/2017,Guatemala,558.6,105.6
30/06/2015,México,233.4,27.6
30/06/2015,México,789.6,307.2
04/09/2016,Trinidad y Tobago,20764.8,9966
04/09/2016,Trinidad y Tobago,739.2,347.4
04/09/2016,Trinidad y Tobago,606,66
27/06/2017,Guatemala,286.4,54.4
27/06/2017,Guatemala,8524.8,2131.2
27/06/2017,Guatemala,687.2,178.4
27/06/2017,Guatemala,480.6,163.2
27/11/2017,Argentina,28.38,-47.42
27/11/2017,Argentina,2217.12,-665.28
08/10/2018,Trinidad y Tobago,2654.4,318.4
08/10/2018,Trinidad y Tobago,8515.7344,3566.1344
08/07/2018,México,332.32,-62.48
08/07/2018,México,3985.2,876.6
11/03/2018,República Dominicana,5012.48,375.68
11/03/2018,República Dominicana,1267.2,284.2
17/11/2017,México,8466,507.6
16/06/2018,México,238.4,52
13/09/2017,Honduras,192.72,28.72
19/05/2017,Cuba,772.8,332
19/05/2017,Cuba,1179.6,506.4
19/05/2017,Cuba,529.8,52.8
22/04/2018,Bolivia,229.2,110
22/04/2018,Bolivia,3692.8,1440
22/04/2018,Bolivia,7089.6,921.2
22/04/2018,Bolivia,1150.2,80.4
23/04/2018,República Dominicana,171.84,-2.16
21/09/2015,Cuba,401.6,32
21/09/2015,Cuba,1672.2,585
04/12/2018,México,759.2,22.4
16/10/2015,México,1428.48,463.68
16/10/2015,México,7031.6,1617.2
16/10/2015,México,153.6,29
16/10/2015,México,11901.7488,2121.7488
06/11/2018,México,213,87
06/11/2018,México,771,200.4
06/11/2018,México,95.2,43.6
06/11/2018,México,1562.4,507.4
28/12/2015,México,315.2,62.4
28/12/2015,México,15871.68,2182.08
15/05/2017,República Dominicana,173.76,3.96
15/05/2017,República Dominicana,2543.3856,344.1856
15/05/2017,República Dominicana,57.44,-7.96
16/09/2018,Guatemala,12587.774,3757.774
28/10/2016,Perú,170.28,-42.72
05/05/2016,México,7206.4,720.4
05/05/2016,México,32428.8,3241.8
13/09/2015,México,73.8,8.8
13/09/2015,México,934.2,373.2
12/01/2015,México,3849.6852,686.4852
12/01/2015,México,4950.6,1782
05/02/2018,Guatemala,29815.8,11925.2
03/09/2018,Nicaragua,350.4,17.4
03/09/2018,Nicaragua,214.2,0
19/04/2016,El Salvador,324.8,155.6
19/04/2016,El Salvador,110.6,14.2
19/04/2016,El Salvador,1125.4,461.4
19/04/2016,El Salvador,16570.8,3644.4
19/04/2016,El Salvador,586,0
13/07/2017,México,336.48,-196.32
13/07/2017,México,1629.6,341.6
13/07/2017,México,14307.7272,687.7272
13/07/2017,México,2231.2,1025.6
13/07/2017,México,1807.36,-429.44
12/09/2018,Nicaragua,559.2,33.4
12/09/2018,Nicaragua,8483.2,1102.8
12/09/2018,Nicaragua,21205,1060
12/09/2018,Nicaragua,6645.6,66
12/09/2018,Nicaragua,233.6,74.4
28/05/2018,México,10325,3407
08/07/2017,Cuba,515.2,0
31/12/2017,Panamá,15645.6,-0.4
31/12/2017,Panamá,136.08,-66.12
25/09/2018,Argentina,4736.16,617.16
17/10/2017,República Dominicana,7648,0
17/10/2017,República Dominicana,8090.4432,-1743.9568
17/10/2017,República Dominicana,2351.16,-274.44
07/06/2017,El Salvador,704.4,111.6
07/06/2017,El Salvador,313.6,140.8
29/03/2017,Argentina,2921.76,96.96
29/03/2017,Argentina,484.8,-243.2
29/03/2017,Argentina,681.12,-386.88
29/03/2017,Argentina,30.48,-30.72
29/03/2017,Argentina,108,9
29/03/2017,Argentina,976.56,-374.64
11/07/2018,México,843,227.4
20/09/2017,Cuba,2217.6,554.4
07/01/2018,México,771.4,361.2
19/08/2018,República Dominicana,279.36,6.96
19/08/2018,República Dominicana,865.92,204.72
19/08/2018,República Dominicana,1592.96,39.76
14/07/2017,Brasil,313.6,137.2
14/07/2017,Brasil,305.6,39.2
18/03/2018,República Dominicana,12125.6,-455.4
18/03/2018,República Dominicana,242.4,-39.6
29/09/2017,México,5315.8,2444.4
29/08/2017,El Salvador,331.8,39.8
29/08/2017,El Salvador,3543.2,637.6
29/08/2017,El Salvador,1640,360
29/08/2017,El Salvador,151.6,33.2
29/08/2017,El Salvador,5626.8,224.4
29/08/2017,El Salvador,1115.6,512.8
18/10/2015,Guatemala,435.2,100
18/10/2015,Guatemala,771.2,0
02/10/2017,Guatemala,664,92.8
02/10/2017,Guatemala,1394.4,445.6
20/11/2018,Nicaragua,10642.672,5310.672
20/11/2018,Nicaragua,294,114.6
02/07/2017,México,533.4,159.6
02/07/2017,México,424.4,186.4
02/07/2017,México,6692.1888,1058.5888
09/08/2017,Argentina,6040.7568,-3354.4432
04/12/2017,México,12729.2,2162.6
26/09/2016,México,275.68,99.88
02/02/2018,Panamá,216.72,-18.08
02/02/2018,Panamá,292.08,-97.52
02/02/2018,Panamá,972,-388.8
28/06/2016,México,74.6,8.2
28/06/2016,México,589.8,253.2
28/06/2016,México,1522.2,258.6
04/07/2017,Honduras,1101.24,182.84
04/07/2017,Honduras,1467.36,-709.44
04/07/2017,Honduras,2757.6,-1103.4
10/06/2018,Cuba,1948,603.2
23/12/2015,México,614.4,282.6
23/11/2015,República Dominicana,163.84,-18.56
19/08/2015,República Dominicana,753.6,150.6
19/08/2015,República Dominicana,558.24,-27.96
04/09/2016,Honduras,2049.6,-581
03/06/2016,Honduras,114,-48
03/06/2016,Honduras,7795.8,-3768.2
02/04/2015,Colombia,152.8,19.6
02/04/2015,Colombia,475.6,109.2
02/04/2015,Colombia,178,5
15/04/2015,Brasil,3969,1825.2
23/11/2017,Argentina,218.64,-10.96
23/11/2017,Argentina,203.76,-78.24
23/11/2017,Argentina,212.04,-49.56
10/06/2015,Cuba,1108.8,266
19/10/2017,Nicaragua,208.2,18.6
03/04/2017,República Dominicana,393.6,97.6
28/08/2017,México,168.4,80.8
25/09/2017,México,1804.8,-22.8
25/09/2017,México,652,162.8
28/08/2018,Cuba,1669.2,700.8
28/08/2018,Cuba,2204.4,175.8
28/08/2018,Cuba,310.8,114.8
28/08/2018,Cuba,1230.6,504
28/08/2018,Cuba,617.6,228.4
28/08/2018,Cuba,984,216
28/08/2018,Cuba,2607.6,1043
28/08/2018,Cuba,97.4,35
28/08/2018,Cuba,8702.4,2958.8
15/02/2016,México,707.4,332.4
15/02/2016,México,285.2,139.6
15/02/2016,México,7334.4,2272.8
15/02/2016,México,247.2,34.2
15/09/2015,México,9918.124,1768.124
15/09/2015,México,236,105.6
15/09/2015,México,390.96,-32.64
25/11/2018,Argentina,93.6,4.6
25/11/2018,Argentina,2688.48,-1747.52
20/04/2016,El Salvador,505.2,217.2
21/12/2016,México,219.6,74.4
21/12/2016,México,34740.8,6252.8
24/10/2016,México,250.8,21.6
24/10/2016,México,378.6,154.8
24/10/2016,México,128.16,-83.44
27/09/2015,Argentina,4223.52,-2112.08
19/11/2018,Panamá,936.36,14.76
05/06/2018,México,910.4,8
05/06/2018,México,610.8,60.6
11/12/2018,Venezuela,3476.4,-0.6
11/12/2018,Venezuela,687.96,-458.64
24/08/2015,México,1993.44,174.24
25/07/2016,Guatemala,3466.2536,1451.4536
25/07/2016,Guatemala,4488,358.4
25/07/2016,Guatemala,1503,675
10/12/2017,Nicaragua,462,124
10/12/2017,Nicaragua,7015.4,2875.6
20/10/2016,México,1477.12,129.12
20/10/2016,México,271.2,24
20/10/2016,México,17765.44,5773.04
19/06/2018,México,576,172.8
28/07/2015,Nicaragua,1928,0
28/07/2015,Nicaragua,96,10.4
21/09/2017,Brasil,142.8,39.6
21/09/2017,Brasil,1472.8,485.8
21/09/2017,Brasil,1425.6,14
14/02/2017,México,633.2,145.6
10/01/2018,México,1371.36,239.76
11/03/2016,Nicaragua,4219.6,1433.6
15/02/2016,Perú,293.16,-83.44
18/06/2015,Colombia,835.6,300.8
06/09/2017,Argentina,67.14,-145.86
26/07/2016,México,1312.8,367.2
26/07/2016,México,136.8,39.6
26/07/2016,México,106.8,3
01/09/2016,República Dominicana,300.16,81.76
12/06/2016,Nicaragua,593.4,53.4
12/06/2016,Nicaragua,555,55.2
17/06/2015,Guatemala,1305.6,300
25/12/2017,República Dominicana,2058.56,50.96
21/07/2015,Guatemala,9760.8,4489.2
29/05/2015,México,13029.6,390.6
08/05/2017,Chile,12401.2,2231.6
08/05/2017,Chile,1270,558
08/05/2017,Chile,1560.4,577.2
26/11/2018,Panamá,155.52,19.92
07/03/2017,República Dominicana,145.92,-0.08
12/03/2017,Guadalupe,2673.6,962.4
12/03/2017,Guadalupe,3329.6,1064.8
12/03/2017,Guadalupe,546,218.4
06/10/2018,República Dominicana,95.36,2.16
04/06/2018,México,2652.6,503.4
11/12/2017,México,330,9.6
11/12/2017,México,1111.2,166.2
11/12/2017,México,1589.4,158.4
11/12/2017,México,8047.68,1508.88
11/12/2017,México,4858.88,121.28
04/05/2017,El Salvador,3949.8,157.8
04/05/2017,El Salvador,501,140
04/05/2017,El Salvador,326.8,58.8
05/03/2015,Nicaragua,905.6,252.8
05/03/2015,Nicaragua,895.8,151.8
09/12/2017,Jamaica,1823,473
09/12/2017,Jamaica,821.6,254.6
09/12/2017,Jamaica,901.8,198
14/01/2016,México,802.8,135
05/07/2016,República Dominicana,336.4,-148.4
05/07/2016,República Dominicana,408,81.6
05/07/2016,República Dominicana,2231.04,334.44
09/12/2018,República Dominicana,1466.1,-440.1
24/04/2017,México,160.8,46.4
11/12/2017,Venezuela,35.28,-5.92
11/07/2016,México,9329.92,3148.32
27/08/2017,Argentina,351.36,-152.64
31/07/2018,República Dominicana,490.88,153.28
10/07/2017,México,683,314
20/12/2016,Nicaragua,846,7.2
20/12/2016,Nicaragua,224,64.8
15/10/2015,República Dominicana,7004.046,-807.954
19/06/2017,República Dominicana,875.04,65.04
05/10/2017,Honduras,150,7.2
05/10/2017,Honduras,11218.32,-5423.28
05/10/2017,Honduras,260.16,-52.64
30/06/2018,Guatemala,592.8,112
30/06/2018,Guatemala,5179.2,1760.4
03/10/2017,Cuba,1731,692
12/03/2015,Brasil,805.2,160.8
17/09/2018,Cuba,7223.6,505.6
14/12/2015,El Salvador,931.8,0
04/11/2018,Argentina,4646.7,-8364.3
04/11/2018,Argentina,5089.2,-3053.6
04/11/2018,Argentina,1276.8,106.4
25/12/2018,Argentina,527.4,-123.6
14/06/2016,Nicaragua,1653.8856,725.4856
23/07/2015,Haití,167.76,-111.84
23/07/2015,Haití,65.28,-8.72
23/07/2015,Haití,302.22,-705.18
23/07/2015,Haití,1474.2,0
23/07/2015,Haití,55.2,-7.4
13/01/2015,Venezuela,264,-80
23/12/2017,Brasil,4452.8,177.6
30/11/2018,El Salvador,952.8,219
23/09/2018,Panamá,5686.08,-3222.72
23/09/2018,Panamá,142.56,-54.84
23/09/2018,Panamá,480,24
23/09/2018,Panamá,549.36,-256.44
23/09/2018,Panamá,926.4,-46.6
23/09/2018,Panamá,2605.92,-1607.08
03/12/2017,México,70.44,-28.36
03/12/2017,México,361.44,-36.36
14/09/2016,Cuba,336.4,148
08/12/2016,Guatemala,379,83
08/12/2016,Guatemala,107.6,25.8
17/01/2018,Guatemala,10573.8,2854.8
17/01/2018,Guatemala,1453.2,145.2
17/01/2018,Guatemala,637.6,127.2
15/12/2016,Perú,1017.6,-577.4
22/01/2015,Colombia,2192.8,0
22/01/2015,Colombia,1089.2,272
15/12/2015,Panamá,545.76,-82.24
07/10/2018,Venezuela,2989.2,248.2
07/10/2018,Venezuela,240.24,31.84
20/09/2017,Brasil,6806,1293
20/09/2017,Brasil,454.8,99.6
20/09/2017,Brasil,167,75
20/09/2017,Brasil,509.6,25.2
14/04/2016,Guatemala,13868.8,5824.8
14/04/2016,Guatemala,251.6,35.2
14/04/2016,Guatemala,384.6,123
24/08/2017,República Dominicana,1602.24,540.24
14/07/2016,Venezuela,60.96,-0.24
29/05/2018,Colombia,31.8,14.2
29/05/2018,Colombia,394,196.8
29/05/2018,Colombia,691.2,27.6
29/05/2018,Colombia,3580,1109.6
16/07/2018,Panamá,389.28,-136.32
16/07/2018,Panamá,695.52,34.32
27/11/2016,México,879.84,73.04
03/12/2018,Brasil,217.6,52.2
15/12/2017,Panamá,370.56,-18.64
11/01/2015,México,4516,-1073
11/01/2015,México,2445,880
11/01/2015,México,13228,2380
11/01/2015,México,1398,321
24/10/2017,México,1661.2,33.2
19/06/2016,México,214.8,57.6
10/08/2015,República Dominicana,20448,-3322.8
10/08/2015,República Dominicana,18191.04,5001.84
19/08/2016,Brasil,8265.6,1487.4
25/05/2016,Chile,5005.76,312.56
22/05/2017,El Salvador,25442.4,9921.6
22/05/2017,El Salvador,74,27.2
22/05/2017,El Salvador,364.4,25.2
22/05/2017,El Salvador,652.8,313.2
22/05/2017,El Salvador,4924.2,2117.4
22/05/2017,El Salvador,359.4,147
13/05/2018,Brasil,1847.6,406.4
13/05/2018,Brasil,256,99.2
13/05/2018,Brasil,328.8,16.2
13/05/2018,Brasil,393.2,168.8
13/05/2018,Brasil,445.2,115.2
16/09/2015,México,2822.4,705.6
16/09/2015,México,1109.776,409.176
10/04/2018,Brasil,5725.2,2118
16/11/2017,Nicaragua,624.6,224.4
16/11/2017,Nicaragua,263.6,81.6
16/11/2017,Nicaragua,258.4,126.4
16/11/2017,Nicaragua,4309.2,1895.6
16/11/2017,Nicaragua,1295.6,246
02/06/2017,Honduras,226.08,-67.92
08/11/2018,México,4090.8,1104
03/09/2018,México,416,33.2
03/09/2018,México,452.16,-0.24
23/10/2016,México,707,211.4
23/10/2016,México,464.4,106.8
23/10/2016,México,246,120
23/10/2016,México,757.6,325.6
21/07/2017,Honduras,201.84,-50.56
26/05/2018,México,601.6,216.4
26/05/2018,México,6342.4,158.4
29/10/2018,Nicaragua,5674.2,1645
29/10/2018,Nicaragua,171.6,82
18/03/2017,El Salvador,353.4,91.8
08/03/2018,El Salvador,735.2,352.8
08/03/2018,El Salvador,691.2,290
16/12/2015,Brasil,3038.4,394.8
08/09/2018,Cuba,110,3.2
08/09/2018,Cuba,24192,4111.8
02/11/2017,Honduras,159.12,-71.88
02/11/2017,Honduras,423.84,-191.36
02/11/2017,Honduras,1224,-245
02/11/2017,Honduras,290.4,-160.6
02/11/2017,Honduras,1597.32,-1012.08
13/04/2015,Argentina,325.08,-162.72
07/08/2017,Colombia,1004.4,310.8
07/08/2017,Colombia,1695,610.2
07/08/2017,Colombia,4484.8,492.8
07/08/2017,Colombia,334.4,29.6
07/08/2017,Colombia,476.8,128
15/12/2018,Brasil,586.8,158.4
15/12/2018,Brasil,4983.6,99.6
15/12/2018,Brasil,4581.6,572.6
31/10/2017,México,148.8,22
31/10/2017,México,495.6,128.4
31/10/2017,México,558.6,256.8
31/08/2017,El Salvador,5563,1390
31/08/2017,El Salvador,3414.9564,1464.3564
05/06/2015,Honduras,795.96,-332.64
03/11/2015,Honduras,401.52,-241.08
18/07/2016,Argentina,386.4,-187.2
18/07/2016,Argentina,1993.68,-1296.12
05/07/2018,México,185.6,24
05/07/2018,México,5854.56,-0.24
05/07/2018,México,11669.6,-584.4
05/07/2018,México,4019.4,118.8
24/09/2018,Chile,1279,473
15/04/2018,Cuba,486,242.8
08/09/2016,Panamá,1986.12,-1324.08
18/11/2018,México,390,93.6
18/11/2018,México,527.4,-351.6
05/10/2015,Brasil,24,-20.4
05/10/2015,Brasil,8590.4,-3651.2
05/10/2015,Brasil,539.28,-755.72
05/10/2015,Brasil,279.68,-356.72
05/10/2015,Brasil,2243.7648,-2661.8352
05/10/2015,Brasil,381.44,-877.36
05/10/2015,Brasil,78.72,-43.68
05/10/2015,Brasil,189.6,-275.4
05/10/2015,Brasil,2119.92,-1325.28
05/10/2015,Brasil,778.56,-331.04
18/11/2015,Brasil,5264.0508,1887.8508
18/06/2015,México,2734.8,246
18/06/2015,México,201.6,78.4
04/11/2018,Brasil,2520,730.8
04/11/2018,Brasil,184.2,64.4
02/06/2015,México,508,223.2
21/09/2017,Cuba,979.2,469.8
21/09/2017,Cuba,435.2,100
21/09/2017,Cuba,4742.496,2271.096
21/09/2017,Cuba,1643.6,590.8
20/10/2018,República Dominicana,1512.36,50.16
23/11/2015,México,1918.5552,745.7552
15/10/2018,Brasil,954.4,219.4
08/07/2016,Guatemala,771,200.4
11/03/2015,Brasil,2007.6,79.8
24/03/2018,México,4032,-1008
24/03/2018,México,406.4,8
13/01/2016,Brasil,760.8,106.2
05/11/2017,México,2224.4,22
25/12/2016,Honduras,3020.3784,-1677.2216
25/12/2016,Honduras,1165.44,19.04
20/11/2018,El Salvador,1709,820.2
03/11/2018,México,351.04,-30.76
08/03/2016,Brasil,1041,374
23/11/2017,Argentina,193.8,-74.4
23/11/2017,Argentina,1746.36,-87.84
23/11/2017,Argentina,38.4,-60.8
23/11/2017,Argentina,441.12,-132.48
23/11/2017,Argentina,253.44,-152.16
09/06/2017,Colombia,2086,625.8
09/06/2017,Colombia,6593.4,988.2
11/04/2017,México,276,40.8
04/07/2018,México,564.6,45
04/07/2018,México,189,37.8
04/07/2018,México,678.4,40.4
04/07/2018,México,1519.36,170.56
20/02/2017,Brasil,7497.2,224.8
22/12/2015,Brasil,346,131.4
22/12/2015,Brasil,843.4,371
22/12/2015,Brasil,437,0
22/12/2015,Brasil,6295.8,2643.2
01/11/2016,México,333,79.8
31/10/2017,Cuba,2636,711.2
09/10/2018,Honduras,70.92,-23.88
30/11/2015,Brasil,628.6,119
30/11/2015,Brasil,860.4,266.4
31/10/2016,México,511,61
13/09/2017,México,604.2,12
13/09/2017,México,1160.8,347.8
13/09/2017,México,1906.2,628.8
13/09/2017,México,7553.862,1574.262
13/09/2017,México,1954.4832,172.0832
13/09/2017,México,463.2,60
13/09/2017,México,263.68,-0.12
13/09/2017,México,1315.2,92
13/09/2017,México,664.8,265.6
13/09/2017,México,1904,133
13/09/2017,México,564.6,45
30/06/2018,Brasil,6347.8788,623.2788
02/11/2017,Bolivia,940.2,121.8
22/04/2018,Honduras,185.64,-235.16
22/04/2018,Honduras,657.12,-0.48
06/11/2018,México,184.4,90
06/11/2018,México,662.4,0
06/11/2018,México,679.2,0
10/11/2018,México,1547,0
17/01/2018,Cuba,2852.0844,651.2844
17/01/2018,Cuba,75.6,8.2
28/01/2016,Honduras,960.12,-368.48
10/10/2017,República Dominicana,2076.48,-1523.12
10/10/2017,República Dominicana,866.88,-108.72
19/09/2018,Brasil,268.8,48
19/09/2018,Brasil,319.2,114.6
19/09/2018,Brasil,244.4,68.4
25/08/2015,México,2747.04,720.84
25/08/2015,México,947,407
29/09/2018,Brasil,1521,531
27/09/2015,México,378.72,-44.28
07/06/2017,Panamá,446.04,-119.16
07/06/2017,Panamá,203.4,3
25/06/2016,República Dominicana,210.08,-7.92
25/06/2016,República Dominicana,1881.92,23.52
22/12/2018,El Salvador,1036.8,435
22/12/2018,El Salvador,12696,3554.4
08/08/2017,México,340.2,61.2
08/08/2017,México,134.4,58.8
14/03/2018,Brasil,1646,213.6
14/03/2018,Brasil,496,74.4
19/12/2017,México,516.8,252.8
03/10/2017,Honduras,181.8,-100.2
22/12/2018,Cuba,703.2,288
22/12/2018,Cuba,90.4,22.4
23/12/2018,México,837.322,107.322
15/04/2018,México,289.6,5.6
22/01/2018,Panamá,390,52
22/01/2018,Panamá,1440.96,-264.24
22/01/2018,Panamá,11366.64,-2842.56
22/01/2018,Panamá,80.64,5.04
22/01/2018,Panamá,3825.1668,-2571.4332
01/05/2016,Cuba,627.2,300.8
30/12/2017,México,2864.4,142.8
30/12/2017,México,627.2,125.2
02/02/2016,Guatemala,570,244.8
02/02/2016,Guatemala,1928.8,540
02/02/2016,Guatemala,2001.6,0
03/06/2018,Brasil,175.2,55.8
10/01/2016,Brasil,357.6,24.6
14/11/2017,Venezuela,415.8,27.6
14/11/2017,Venezuela,335.16,-117.84
14/11/2017,Venezuela,351.36,-64.44
14/11/2017,Venezuela,85.68,-57.12
14/11/2017,Venezuela,232.92,-124.68
18/08/2018,República Dominicana,132.96,41.16
13/12/2017,Brasil,5935.3056,1117.3056
01/10/2017,Honduras,393.12,65.52
17/05/2015,Panamá,520.92,25.92
23/06/2018,República Dominicana,3196.44,-3197.16
17/09/2018,República Dominicana,613.92,130.32
17/09/2018,República Dominicana,1480.8,36.8
17/09/2018,República Dominicana,380.64,71.04
